Run	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[phenotype]	Sample Characteristic Ontology Term[phenotype]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[phenotype]	Factor Value Ontology Term[phenotype]	Analysed
SRR1146076	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146077	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146078	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146079	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146080	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146081	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146082	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146083	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146084	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146085	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146086	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146087	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146088	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146089	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146090	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146091	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146092	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146093	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146094	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146095	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146096	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146097	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146098	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146099	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146100	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146101	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146102	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146103	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146104	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146105	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146106	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146107	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146108	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146109	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146110	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146111	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146112	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146113	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146114	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146115	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146116	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146117	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146118	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146119	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146120	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146121	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146122	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146123	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146124	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146125	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146126	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146127	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146128	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146129	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146130	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146131	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146132	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146133	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146134	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
