Run	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[phenotype]	Sample Characteristic Ontology Term[phenotype]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[phenotype]	Factor Value Ontology Term[phenotype]	Analysed
SRR1146135	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146136	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146137	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146138	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146139	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146140	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146141	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146142	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146143	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146144	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146145	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146146	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146147	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146148	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146149	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146150	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146151	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146152	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146153	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146154	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146155	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146156	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146157	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146158	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146159	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146160	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146161	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146162	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146163	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146164	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146165	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146166	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146167	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146168	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146169	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146170	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146171	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146172	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146173	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146174	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146175	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146176	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146177	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146178	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146179	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146180	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146181	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146182	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146183	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146184	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146185	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146186	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146187	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146188	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146189	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146190	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146191	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146192	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
